2024-05-05 11:21:33,818 - WARNING  19416 --- [competitions_main.py:200] | No table on page Nordrhein-Westfalen - 2025
2024-05-05 11:21:38,088 - WARNING  19416 --- [competitions_main.py:200] | No table on page Rheinland-Pfalz - 2025
2024-05-05 11:21:42,575 - WARNING  19416 --- [competitions_main.py:200] | No table on page Saarland - 2025
2024-05-05 11:21:46,859 - WARNING  19416 --- [competitions_main.py:200] | No table on page Sachsen - 2025
2024-05-05 11:21:51,360 - WARNING  19416 --- [competitions_main.py:200] | No table on page Sachsen-Anhalt - 2025
2024-05-05 11:21:55,638 - WARNING  19416 --- [competitions_main.py:200] | No table on page Schleswig-Holstein - 2025
2024-05-05 11:22:00,128 - WARNING  19416 --- [competitions_main.py:200] | No table on page Th�ringen - 2025
2024-05-05 12:41:24,796 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Berlin - 2021
2024-05-05 12:41:32,676 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Bremen - 2021
2024-05-05 12:41:57,298 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Rheinland-Pfalz - 2021
2024-05-05 12:42:42,007 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Bremen - 2022
2024-05-05 12:43:07,214 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Rheinland-Pfalz - 2022
2024-05-05 12:43:44,453 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Berlin - 2023
2024-05-05 12:43:52,612 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Bremen - 2023
2024-05-05 12:45:05,874 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Bremen - 2024
2024-05-05 12:46:01,459 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Baden-W�rttemberg - 2025
2024-05-05 12:46:03,941 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Bayern - 2025
2024-05-05 12:46:06,219 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Berlin - 2025
2024-05-05 12:46:08,722 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Brandenburg - 2025
2024-05-05 12:46:10,995 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Bremen - 2025
2024-05-05 12:46:13,514 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Hamburg - 2025
2024-05-05 12:46:15,779 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Hessen - 2025
2024-05-05 12:46:18,276 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Mecklenburg-Vorpommern - 2025
2024-05-05 12:46:20,569 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Niedersachsen - 2025
2024-05-05 12:46:23,070 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Nordrhein-Westfalen - 2025
2024-05-05 12:46:25,340 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Rheinland-Pfalz - 2025
2024-05-05 12:46:27,842 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Saarland - 2025
2024-05-05 12:46:30,107 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Sachsen - 2025
2024-05-05 12:46:32,600 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Sachsen-Anhalt - 2025
2024-05-05 12:46:34,883 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Schleswig-Holstein - 2025
2024-05-05 12:46:37,355 - WARNING  23844 --- [bvdk_scraper.py:140] | No table on page Th�ringen - 2025
2024-05-05 18:21:44,403 - DEBUG    5310 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:21:45,411 - DEBUG    5310 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:21:45,415 - DEBUG    5310 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:21:46,416 - DEBUG    5310 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:21:47,689 - DEBUG    5310 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:21:47,692 - DEBUG    5310 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:21:48,878 - DEBUG    5310 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:23:05,207 - DEBUG    6041 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:23:06,217 - DEBUG    6041 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:23:06,220 - DEBUG    6041 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:23:07,221 - DEBUG    6041 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:23:08,492 - DEBUG    6041 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:23:08,494 - DEBUG    6041 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:23:09,683 - DEBUG    6041 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:23:10,353 - DEBUG    6041 --- [bvdk_scraper.py:169] | Baden-Württemberg done
2024-05-05 18:23:10,353 - DEBUG    6041 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:23:39,245 - DEBUG    6545 --- [bvdk_scraper.py:105] | Start 2024
2024-05-05 18:23:40,255 - DEBUG    6545 --- [bvdk_scraper.py:116] | wait...
2024-05-05 18:23:40,258 - DEBUG    6545 --- [bvdk_scraper.py:119] | continue...
2024-05-05 18:23:41,259 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Baden-Württemberg - 2024
2024-05-05 18:23:42,524 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:23:42,526 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:23:43,716 - DEBUG    6545 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:23:44,438 - DEBUG    6545 --- [bvdk_scraper.py:169] | Baden-Württemberg done - [7 competitions]
2024-05-05 18:23:44,439 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Bayern - 2024
2024-05-05 18:23:45,891 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:23:45,894 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:23:47,832 - DEBUG    6545 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:23:51,024 - DEBUG    6545 --- [bvdk_scraper.py:169] | Bayern done - [30 competitions]
2024-05-05 18:23:51,024 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Berlin - 2024
2024-05-05 18:23:52,272 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:23:52,274 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
2024-05-05 18:23:53,326 - DEBUG    6545 --- [bvdk_scraper.py:137] | table done
2024-05-05 18:23:53,420 - DEBUG    6545 --- [bvdk_scraper.py:169] | Berlin done - [1 competitions]
2024-05-05 18:23:53,421 - DEBUG    6545 --- [bvdk_scraper.py:124] | Scraping Brandenburg - 2024
2024-05-05 18:23:54,865 - DEBUG    6545 --- [bvdk_scraper.py:129] | wait for throbber...
2024-05-05 18:23:54,868 - DEBUG    6545 --- [bvdk_scraper.py:132] | continue...
